date,%-close,value,Target
2018-07,GOOG-close,1115.65,1.0
2018-08,GOOG-close,1217.26,1.0
2018-09,GOOG-close,1218.19,1.0
2018-10,GOOG-close,1193.47,0.0
2018-11,GOOG-close,1076.77,0.0
2018-12,GOOG-close,1094.43,1.0
2019-01,GOOG-close,1035.61,0.0
2019-02,GOOG-close,1116.37,1.0
2019-03,GOOG-close,1119.92,1.0
2019-04,GOOG-close,1173.31,1.0
2019-05,GOOG-close,1188.48,1.0
2019-06,GOOG-close,1103.63,0.0
2019-07,GOOG-close,1080.91,0.0
2019-08,GOOG-close,1216.68,1.0
2019-09,GOOG-close,1188.1,0.0
2019-10,GOOG-close,1219.0,1.0
2019-11,GOOG-close,1260.11,1.0
2019-12,GOOG-close,1304.96,1.0
2020-01,GOOG-close,1337.02,1.0
2020-02,GOOG-close,1434.23,1.0
2020-03,GOOG-close,1339.33,0.0
2020-04,GOOG-close,1162.81,0.0
2020-05,GOOG-close,1348.66,1.0
2020-06,GOOG-close,1428.92,1.0
2020-07,GOOG-close,1413.61,0.0
2020-08,GOOG-close,1482.96,1.0
2020-09,GOOG-close,1634.18,1.0
2020-10,GOOG-close,1469.6,0.0
2020-11,GOOG-close,1621.01,1.0
2020-12,GOOG-close,1760.74,1.0
2021-01,GOOG-close,1751.88,0.0
2021-02,GOOG-close,1835.74,1.0
2021-03,GOOG-close,2036.86,1.0
2021-04,GOOG-close,2068.63,1.0
2021-05,GOOG-close,2410.12,1.0
2021-06,GOOG-close,2411.56,1.0
2021-07,GOOG-close,2506.32,1.0
2021-08,GOOG-close,2704.42,1.0
2021-09,GOOG-close,2909.24,1.0
2021-10,GOOG-close,2665.31,0.0
2021-11,GOOG-close,2965.41,1.0
2021-12,GOOG-close,2849.04,0.0
2022-01,GOOG-close,2893.59,1.0
2022-02,GOOG-close,2713.97,0.0
2022-03,GOOG-close,2697.82,0.0
2022-04,GOOG-close,2792.99,1.0
2015-04,GOOG-close,2559.22,0.0
2015-05,MSFT-close,43.0679,0.0
2015-06,MSFT-close,41.7622,0.0
2015-07,MSFT-close,39.347,0.0
2015-08,MSFT-close,41.6196,1.0
2015-09,MSFT-close,39.0399,0.0
2015-10,MSFT-close,39.6499,1.0
2015-11,MSFT-close,47.221,1.0
2015-12,MSFT-close,49.0863,1.0
2016-01,MSFT-close,50.1069,1.0
2016-02,MSFT-close,49.7547,0.0
2016-03,MSFT-close,46.2762,0.0
2016-04,MSFT-close,50.2326,1.0
2016-05,MSFT-close,45.3576,0.0
2016-06,MSFT-close,48.5479,1.0
2016-07,MSFT-close,46.8717,0.0
2016-08,MSFT-close,51.9188,1.0
2016-09,MSFT-close,52.9632,1.0
2016-10,MSFT-close,53.0922,1.0
2016-11,MSFT-close,55.2306,1.0
2016-12,MSFT-close,55.912,1.0
2017-01,MSFT-close,57.6563,1.0
2017-02,MSFT-close,59.9852,1.0
2017-03,MSFT-close,59.7221,0.0
2017-04,MSFT-close,61.477,1.0
2017-05,MSFT-close,63.904,1.0
2017-06,MSFT-close,65.5585,1.0
2017-07,MSFT-close,64.7042,0.0
2017-08,MSFT-close,68.2431,1.0
2017-09,MSFT-close,70.5601,1.0
2017-10,MSFT-close,70.2958,0.0
2017-11,MSFT-close,78.4965,1.0
2017-12,MSFT-close,79.8328,1.0
2018-01,MSFT-close,81.1322,1.0
2018-02,MSFT-close,90.1143,1.0
2018-03,MSFT-close,89.3495,0.0
2018-04,MSFT-close,86.9674,0.0
2018-05,MSFT-close,89.1113,1.0
2018-06,MSFT-close,94.5877,1.0
2018-07,MSFT-close,94.3675,0.0
2018-08,MSFT-close,101.5162,1.0
2018-09,MSFT-close,107.9166,1.0
2018-10,MSFT-close,109.8765,1.0
2018-11,MSFT-close,102.6135,0.0
2018-12,MSFT-close,107.0001,1.0
2019-01,MSFT-close,98.007,0.0
2019-02,MSFT-close,100.7667,1.0
2019-03,MSFT-close,108.5642,1.0
2019-04,MSFT-close,114.2913,1.0
2019-05,MSFT-close,126.5597,1.0
2019-06,MSFT-close,120.2912,0.0
2019-07,MSFT-close,130.2896,1.0
2019-08,MSFT-close,132.5363,1.0
2019-09,MSFT-close,134.5431,1.0
2019-10,MSFT-close,135.6849,1.0
2019-11,MSFT-close,139.9205,1.0
2019-12,MSFT-close,148.2414,1.0
2020-01,MSFT-close,154.4303,1.0
2020-02,MSFT-close,166.7005,1.0
2020-03,MSFT-close,159.083,0.0
2020-04,MSFT-close,154.8607,0.0
2020-05,MSFT-close,175.9722,1.0
2020-06,MSFT-close,180.4335,1.0
2020-07,MSFT-close,200.3822,1.0
2020-08,MSFT-close,201.8591,1.0
2020-09,MSFT-close,222.6038,1.0
2020-10,MSFT-close,207.601,0.0
2020-11,MSFT-close,199.843,0.0
2020-12,MSFT-close,211.853,1.0
2021-01,MSFT-close,220.1166,1.0
2021-02,MSFT-close,229.5578,1.0
2021-03,MSFT-close,230.5008,1.0
2021-04,MSFT-close,233.8634,1.0
2021-05,MSFT-close,250.1407,1.0
2021-06,MSFT-close,248.2314,0.0
2021-07,MSFT-close,269.3282,1.0
2021-08,MSFT-close,283.257,1.0
2021-09,MSFT-close,300.7066,1.0
2021-10,MSFT-close,280.8242,0.0
2021-11,MSFT-close,330.331,1.0
2021-12,MSFT-close,329.9071,0.0
2022-01,MSFT-close,335.6252,1.0
2022-02,MSFT-close,310.3376,0.0
2022-03,MSFT-close,298.79,0.0
2022-04,MSFT-close,308.31,1.0
2015-04,MSFT-close,280.52,0.0
2015-05,AMZN-close,421.78,1.0
2015-06,AMZN-close,429.23,1.0
2015-07,AMZN-close,434.09,1.0
2015-08,AMZN-close,536.15,1.0
2015-09,AMZN-close,512.89,0.0
2015-10,AMZN-close,511.89,0.0
2015-11,AMZN-close,625.9,1.0
2015-12,AMZN-close,664.8,1.0
2016-01,AMZN-close,675.89,1.0
2016-02,AMZN-close,587.0,0.0
2016-03,AMZN-close,552.52,0.0
2016-04,AMZN-close,593.64,1.0
2016-05,AMZN-close,659.59,1.0
2016-06,AMZN-close,722.79,1.0
2016-07,AMZN-close,715.62,0.0
2016-08,AMZN-close,758.81,1.0
2016-09,AMZN-close,769.16,1.0
2016-10,AMZN-close,837.31,1.0
2016-11,AMZN-close,789.82,0.0
2016-12,AMZN-close,750.57,0.0
2017-01,AMZN-close,749.87,0.0
2017-02,AMZN-close,823.48,1.0
2017-03,AMZN-close,845.04,1.0
2017-04,AMZN-close,886.54,1.0
2017-05,AMZN-close,924.99,1.0
2017-06,AMZN-close,994.62,1.0
2017-07,AMZN-close,968.0,0.0
2017-08,AMZN-close,987.78,1.0
2017-09,AMZN-close,980.6,0.0
2017-10,AMZN-close,961.35,0.0
2017-11,AMZN-close,1105.28,1.0
2017-12,AMZN-close,1176.75,1.0
2018-01,AMZN-close,1169.47,0.0
2018-02,AMZN-close,1450.89,1.0
2018-03,AMZN-close,1512.45,1.0
2018-04,AMZN-close,1447.34,0.0
2018-05,AMZN-close,1566.13,1.0
2018-06,AMZN-close,1629.62,1.0
2018-07,AMZN-close,1699.8,1.0
2018-08,AMZN-close,1777.44,1.0
2018-09,AMZN-close,2012.71,1.0
2018-10,AMZN-close,2003.0,0.0
2018-11,AMZN-close,1598.01,0.0
2018-12,AMZN-close,1690.17,1.0
2019-01,AMZN-close,1501.97,0.0
2019-02,AMZN-close,1718.73,1.0
2019-03,AMZN-close,1639.83,0.0
2019-04,AMZN-close,1780.75,1.0
2019-05,AMZN-close,1926.52,1.0
2019-06,AMZN-close,1775.07,0.0
2019-07,AMZN-close,1893.63,1.0
2019-08,AMZN-close,1866.78,0.0
2019-09,AMZN-close,1776.29,0.0
2019-10,AMZN-close,1735.91,0.0
2019-11,AMZN-close,1776.66,1.0
2019-12,AMZN-close,1800.8,1.0
2020-01,AMZN-close,1847.84,1.0
2020-02,AMZN-close,2008.72,1.0
2020-03,AMZN-close,1883.75,0.0
2020-04,AMZN-close,1949.72,1.0
2020-05,AMZN-close,2474.0,1.0
2020-06,AMZN-close,2442.37,0.0
2020-07,AMZN-close,2758.82,1.0
2020-08,AMZN-close,3164.68,1.0
2020-09,AMZN-close,3450.96,1.0
2020-10,AMZN-close,3148.73,0.0
2020-11,AMZN-close,3036.15,0.0
2020-12,AMZN-close,3168.04,1.0
2021-01,AMZN-close,3256.93,1.0
2021-02,AMZN-close,3206.2,0.0
2021-03,AMZN-close,3092.93,0.0
2021-04,AMZN-close,3094.08,1.0
2021-05,AMZN-close,3467.42,1.0
2021-06,AMZN-close,3223.07,0.0
2021-07,AMZN-close,3440.16,1.0
2021-08,AMZN-close,3327.59,0.0
2021-09,AMZN-close,3470.79,1.0
2021-10,AMZN-close,3285.04,0.0
2021-11,AMZN-close,3372.43,1.0
2021-12,AMZN-close,3507.07,1.0
2022-01,AMZN-close,3334.34,0.0
2022-02,AMZN-close,2991.47,0.0
2022-03,AMZN-close,3071.26,1.0
2022-04,AMZN-close,3259.95,1.0
2015-04,AMZN-close,3055.7,0.0
2015-05,FB-close,78.77,0.0
2015-06,FB-close,79.19,1.0
2015-07,FB-close,85.765,1.0
2015-08,FB-close,94.01,1.0
2015-09,FB-close,89.43,0.0
2015-10,FB-close,89.9,1.0
2015-11,FB-close,101.97,1.0
2015-12,FB-close,104.24,1.0
2016-01,FB-close,104.66,1.0
2016-02,FB-close,112.21,1.0
2016-03,FB-close,106.92,0.0
2016-04,FB-close,114.1,1.0
2016-05,FB-close,117.58,1.0
2016-06,FB-close,118.81,1.0
2016-07,FB-close,114.28,0.0
2016-08,FB-close,123.94,1.0
2016-09,FB-close,126.12,1.0
2016-10,FB-close,128.27,1.0
2016-11,FB-close,130.99,1.0
2016-12,FB-close,118.42,0.0
2017-01,FB-close,115.05,0.0
2017-02,FB-close,130.32,1.0
2017-03,FB-close,135.54,1.0
2017-04,FB-close,142.05,1.0
2017-05,FB-close,150.25,1.0
2017-06,FB-close,151.46,1.0
2017-07,FB-close,150.98,0.0
2017-08,FB-close,169.25,1.0
2017-09,FB-close,171.97,1.0
2017-10,FB-close,170.87,0.0
2017-11,FB-close,180.06,1.0
2017-12,FB-close,177.18,0.0
2018-01,FB-close,176.46,0.0
2018-02,FB-close,186.89,1.0
2018-03,FB-close,178.32,0.0
2018-04,FB-close,159.79,0.0
2018-05,FB-close,172.0,1.0
2018-06,FB-close,191.78,1.0
2018-07,FB-close,194.32,1.0
2018-08,FB-close,172.58,0.0
2018-09,FB-close,175.73,1.0
2018-10,FB-close,164.46,0.0
2018-11,FB-close,151.79,0.0
2018-12,FB-close,140.61,0.0
2019-01,FB-close,131.09,0.0
2019-02,FB-close,166.69,1.0
2019-03,FB-close,161.45,0.0
2019-04,FB-close,166.69,1.0
2019-05,FB-close,193.4,1.0
2019-06,FB-close,177.47,0.0
2019-07,FB-close,193.0,1.0
2019-08,FB-close,194.23,1.0
2019-09,FB-close,185.67,0.0
2019-10,FB-close,178.08,0.0
2019-11,FB-close,191.65,1.0
2019-12,FB-close,201.64,1.0
2020-01,FB-close,205.25,1.0
2020-02,FB-close,201.91,0.0
2020-03,FB-close,192.47,0.0
2020-04,FB-close,166.8,0.0
2020-05,FB-close,204.71,1.0
2020-06,FB-close,225.09,1.0
2020-07,FB-close,227.07,1.0
2020-08,FB-close,253.67,1.0
2020-09,FB-close,293.2,1.0
2020-10,FB-close,261.9,0.0
2020-11,FB-close,263.11,1.0
2020-12,FB-close,276.97,1.0
2021-01,FB-close,273.16,0.0
2021-02,FB-close,258.33,0.0
2021-03,FB-close,257.62,0.0
2021-04,FB-close,294.53,1.0
2021-05,FB-close,325.08,1.0
2021-06,FB-close,328.73,1.0
2021-07,FB-close,347.71,1.0
2021-08,FB-close,356.3,1.0
2021-09,FB-close,379.38,1.0
2021-10,FB-close,339.39,0.0
2021-11,FB-close,323.57,0.0
2021-12,FB-close,324.46,1.0
2022-01,FB-close,336.35,1.0
2022-02,FB-close,313.26,0.0
2022-03,FB-close,211.03,0.0
2022-04,FB-close,222.36,1.0
2015-04,FB-close,210.77,0.0
2015-05,JPM-close,52.1798,0.0
2015-06,JPM-close,54.2584,1.0
2015-07,JPM-close,55.8916,1.0
2015-08,JPM-close,56.8922,1.0
2015-09,JPM-close,53.2145,0.0
2015-10,JPM-close,50.616,0.0
2015-11,JPM-close,53.7249,1.0
2015-12,JPM-close,55.7569,1.0
2016-01,JPM-close,55.2133,0.0
2016-02,JPM-close,50.0971,0.0
2016-03,JPM-close,47.4028,0.0
2016-04,JPM-close,49.8614,1.0
2016-05,JPM-close,53.6079,1.0
2016-06,JPM-close,55.3638,1.0
2016-07,JPM-close,52.7088,0.0
2016-08,JPM-close,54.6862,1.0
2016-09,JPM-close,57.7039,1.0
2016-10,JPM-close,56.926,0.0
2016-11,JPM-close,59.6352,1.0
2016-12,JPM-close,69.0291,1.0
2017-01,JPM-close,74.2986,1.0
2017-02,JPM-close,73.2718,0.0
2017-03,JPM-close,78.4579,1.0
2017-04,JPM-close,76.051,0.0
2017-05,JPM-close,75.7551,0.0
2017-06,JPM-close,71.5319,0.0
2017-07,JPM-close,79.5863,1.0
2017-08,JPM-close,80.3656,1.0
2017-09,JPM-close,79.5689,0.0
2017-10,JPM-close,83.6134,1.0
2017-11,JPM-close,88.5862,1.0
2017-12,JPM-close,92.0289,1.0
2018-01,JPM-close,94.1597,1.0
2018-02,JPM-close,102.3695,1.0
2018-03,JPM-close,102.219,0.0
2018-04,JPM-close,97.3249,0.0
2018-05,JPM-close,96.7536,0.0
2018-06,JPM-close,95.1793,0.0
2018-07,JPM-close,92.68,0.0
2018-08,JPM-close,102.7935,1.0
2018-09,JPM-close,102.4626,0.0
2018-10,JPM-close,100.9066,0.0
2018-11,JPM-close,98.1672,0.0
2018-12,JPM-close,100.1212,1.0
2019-01,JPM-close,87.9021,0.0
2019-02,JPM-close,93.9645,1.0
2019-03,JPM-close,94.7453,1.0
2019-04,JPM-close,91.9036,0.0
2019-05,JPM-close,106.1567,1.0
2019-06,JPM-close,96.9269,0.0
2019-07,JPM-close,102.269,1.0
2019-08,JPM-close,106.8634,1.0
2019-09,JPM-close,101.207,0.0
2019-10,JPM-close,108.4203,1.0
2019-11,JPM-close,116.004,1.0
2019-12,JPM-close,122.3558,1.0
2020-01,JPM-close,129.4505,1.0
2020-02,JPM-close,123.7126,0.0
2020-03,JPM-close,108.5243,0.0
2020-04,JPM-close,84.1482,0.0
2020-05,JPM-close,90.4622,1.0
2020-06,JPM-close,91.9264,1.0
2020-07,JPM-close,88.8563,0.0
2020-08,JPM-close,92.1802,1.0
2020-09,JPM-close,95.5664,1.0
2020-10,JPM-close,91.8273,0.0
2020-11,JPM-close,94.3654,1.0
2020-12,JPM-close,113.4618,1.0
2021-01,JPM-close,122.3074,1.0
2021-02,JPM-close,124.7345,1.0
2021-03,JPM-close,142.6687,1.0
2021-04,JPM-close,147.5739,1.0
2021-05,JPM-close,149.9791,1.0
2021-06,JPM-close,160.1493,1.0
2021-07,JPM-close,151.666,0.0
2021-08,JPM-close,148.8534,0.0
2021-09,JPM-close,156.8658,1.0
2021-10,JPM-close,160.5337,1.0
2021-11,JPM-close,167.602,1.0
2021-12,JPM-close,156.691,0.0
2022-01,JPM-close,156.2174,0.0
2022-02,JPM-close,147.4939,0.0
2022-03,JPM-close,140.7445,0.0
2022-04,JPM-close,135.3053,0.0
2015-04,JPM-close,128.46,0.0
2015-05,JNJ-close,82.1448,0.0
2015-06,JNJ-close,83.5304,1.0
2015-07,JNJ-close,81.2949,0.0
2015-08,JNJ-close,83.5888,1.0
2015-09,JNJ-close,79.0074,0.0
2015-10,JNJ-close,78.4778,0.0
2015-11,JNJ-close,84.9342,1.0
2015-12,JNJ-close,85.7336,1.0
2016-01,JNJ-close,86.9869,1.0
2016-02,JNJ-close,88.4435,1.0
2016-03,JNJ-close,89.7371,1.0
2016-04,JNJ-close,92.2874,1.0
2016-05,JNJ-close,95.5967,1.0
