,date,%-close_x,value,string-date_x,combined,Date,%-close_y,EPS,string-date_y
3346,2017-11-30,MCD-close,155.271,2017-11-30,2017-11-30_MCD-close,2017-11-30,MCD-close,3.3,2017-11-30
3347,2017-12-29,MCD-close,155.4065,2017-12-29,2017-12-29_MCD-close,2017-12-29,MCD-close,3.3,2017-12-29
3348,2018-01-31,MCD-close,154.5216,2018-01-31,2018-01-31_MCD-close,2018-01-31,MCD-close,5.18,2018-01-31
3349,2018-02-28,MCD-close,143.3347,2018-02-28,2018-02-28_MCD-close,2018-02-28,MCD-close,5.18,2018-02-28
3350,2018-03-29,MCD-close,142.0989,2018-03-29,2018-03-29_MCD-close,,,,
3351,2018-04-30,MCD-close,152.1489,2018-04-30,2018-04-30_MCD-close,2018-04-30,MCD-close,2.45,2018-04-30
3352,2018-05-31,MCD-close,145.3974,2018-05-31,2018-05-31_MCD-close,2018-05-31,MCD-close,2.45,2018-05-31
3353,2018-06-29,MCD-close,143.2842,2018-06-29,2018-06-29_MCD-close,2018-06-29,MCD-close,2.45,2018-06-29
3354,2018-07-31,MCD-close,144.0614,2018-07-31,2018-07-31_MCD-close,2018-07-31,MCD-close,3.08,2018-07-31
3355,2018-08-31,MCD-close,149.2738,2018-08-31,2018-08-31_MCD-close,2018-08-31,MCD-close,3.08,2018-08-31
3356,2018-09-28,MCD-close,153.9296,2018-09-28,2018-09-28_MCD-close,2018-09-28,MCD-close,3.08,2018-09-28
3357,2018-10-31,MCD-close,162.7722,2018-10-31,2018-10-31_MCD-close,2018-10-31,MCD-close,3.42,2018-10-31
3358,2018-11-30,MCD-close,174.5223,2018-11-30,2018-11-30_MCD-close,2018-11-30,MCD-close,3.42,2018-11-30
3359,2018-12-31,MCD-close,164.3941,2018-12-31,2018-12-31_MCD-close,2018-12-31,MCD-close,4.87,2018-12-31
3360,2019-01-31,MCD-close,165.5143,2019-01-31,2019-01-31_MCD-close,2019-01-31,MCD-close,4.87,2019-01-31
3361,2019-02-28,MCD-close,171.2728,2019-02-28,2019-02-28_MCD-close,2019-02-28,MCD-close,4.87,2019-02-28
3362,2019-03-29,MCD-close,176.9185,2019-03-29,2019-03-29_MCD-close,2019-03-29,MCD-close,4.87,2019-03-29
3363,2019-04-30,MCD-close,184.0642,2019-04-30,2019-04-30_MCD-close,2019-04-30,MCD-close,2.25,2019-04-30
3364,2019-05-31,MCD-close,185.797,2019-05-31,2019-05-31_MCD-close,2019-05-31,MCD-close,2.25,2019-05-31
3365,2019-06-28,MCD-close,194.5963,2019-06-28,2019-06-28_MCD-close,2019-06-28,MCD-close,2.25,2019-06-28
3366,2019-07-31,MCD-close,197.4638,2019-07-31,2019-07-31_MCD-close,2019-07-31,MCD-close,3.17,2019-07-31
3367,2019-08-30,MCD-close,205.3447,2019-08-30,2019-08-30_MCD-close,2019-08-30,MCD-close,3.17,2019-08-30
3368,2019-09-30,MCD-close,202.2736,2019-09-30,2019-09-30_MCD-close,2019-09-30,MCD-close,2.68,2019-09-30
3369,2019-10-31,MCD-close,185.3067,2019-10-31,2019-10-31_MCD-close,2019-10-31,MCD-close,2.68,2019-10-31
3370,2019-11-29,MCD-close,184.3929,2019-11-29,2019-11-29_MCD-close,2019-11-29,MCD-close,2.68,2019-11-29
3371,2019-12-31,MCD-close,187.3606,2019-12-31,2019-12-31_MCD-close,2019-12-31,MCD-close,4.71,2019-12-31
3372,2020-01-31,MCD-close,202.872,2020-01-31,2020-01-31_MCD-close,2020-01-31,MCD-close,4.71,2020-01-31
3373,2020-02-28,MCD-close,185.2842,2020-02-28,2020-02-28_MCD-close,2020-02-28,MCD-close,4.71,2020-02-28
3374,2020-03-31,MCD-close,157.7831,2020-03-31,2020-03-31_MCD-close,2020-03-31,MCD-close,1.84,2020-03-31
3375,2020-04-30,MCD-close,178.9767,2020-04-30,2020-04-30_MCD-close,2020-04-30,MCD-close,1.84,2020-04-30
3376,2020-05-29,MCD-close,178.9862,2020-05-29,2020-05-29_MCD-close,2020-05-29,MCD-close,1.84,2020-05-29
3377,2020-06-30,MCD-close,177.209,2020-06-30,2020-06-30_MCD-close,2020-06-30,MCD-close,2.18,2020-06-30
3378,2020-07-31,MCD-close,186.6329,2020-07-31,2020-07-31_MCD-close,2020-07-31,MCD-close,2.18,2020-07-31
3379,2020-08-31,MCD-close,206.3164,2020-08-31,2020-08-31_MCD-close,2020-08-31,MCD-close,2.18,2020-08-31
3380,2020-09-30,MCD-close,212.085,2020-09-30,2020-09-30_MCD-close,2020-09-30,MCD-close,2.58,2020-09-30
3381,2020-10-30,MCD-close,205.8139,2020-10-30,2020-10-30_MCD-close,2020-10-30,MCD-close,2.58,2020-10-30
3382,2020-11-30,MCD-close,211.3506,2020-11-30,2020-11-30_MCD-close,2020-11-30,MCD-close,2.58,2020-11-30
3383,2020-12-31,MCD-close,208.5707,2020-12-31,2020-12-31_MCD-close,2020-12-31,MCD-close,2.07,2020-12-31
3384,2021-01-29,MCD-close,202.0195,2021-01-29,2021-01-29_MCD-close,2021-01-29,MCD-close,2.07,2021-01-29
3385,2021-02-26,MCD-close,201.6209,2021-02-26,2021-02-26_MCD-close,2021-02-26,MCD-close,2.07,2021-02-26
3386,2021-03-31,MCD-close,219.2263,2021-03-31,2021-03-31_MCD-close,2021-03-31,MCD-close,1.77,2021-03-31
3387,2021-04-30,MCD-close,230.9046,2021-04-30,2021-04-30_MCD-close,2021-04-30,MCD-close,1.77,2021-04-30
