,date,%-close,value
3693,2016-04-29,BRK.B-close,145.48
3694,2016-05-31,BRK.B-close,140.54
3695,2016-06-30,BRK.B-close,144.79
3696,2016-07-29,BRK.B-close,144.27
3697,2016-08-31,BRK.B-close,150.49
3698,2016-09-30,BRK.B-close,144.47
3699,2016-10-31,BRK.B-close,144.3
3700,2016-11-30,BRK.B-close,157.44
3701,2016-12-30,BRK.B-close,162.98
3702,2017-01-31,BRK.B-close,164.14
3703,2017-02-28,BRK.B-close,171.42
3704,2017-03-31,BRK.B-close,166.68
3705,2017-04-28,BRK.B-close,165.21
3706,2017-05-31,BRK.B-close,165.28
3707,2017-06-30,BRK.B-close,169.37
3708,2017-07-31,BRK.B-close,174.97
3709,2017-08-31,BRK.B-close,181.16
3710,2017-09-29,BRK.B-close,183.32
3711,2017-10-31,BRK.B-close,186.94
3712,2017-11-30,BRK.B-close,193.01
3713,2017-12-29,BRK.B-close,198.22
3714,2018-01-31,BRK.B-close,214.38
3715,2018-02-28,BRK.B-close,207.2
3716,2018-03-29,BRK.B-close,199.48
3717,2018-04-30,BRK.B-close,193.73
3718,2018-05-31,BRK.B-close,191.53
3719,2018-06-29,BRK.B-close,186.65
3720,2018-07-31,BRK.B-close,197.87
3721,2018-08-31,BRK.B-close,208.72
3722,2018-09-28,BRK.B-close,214.11
3723,2018-10-31,BRK.B-close,205.28
3724,2018-11-30,BRK.B-close,218.24
3725,2018-12-31,BRK.B-close,204.18
3726,2019-01-31,BRK.B-close,205.54
3727,2019-02-28,BRK.B-close,201.3
3728,2019-03-29,BRK.B-close,200.89
3729,2019-04-30,BRK.B-close,216.71
3730,2019-05-31,BRK.B-close,197.42
3731,2019-06-28,BRK.B-close,213.17
3732,2019-07-31,BRK.B-close,205.43
3733,2019-08-30,BRK.B-close,203.41
3734,2019-09-30,BRK.B-close,208.02
3735,2019-10-31,BRK.B-close,212.58
3736,2019-11-29,BRK.B-close,220.3
3737,2019-12-31,BRK.B-close,226.5
3738,2020-01-31,BRK.B-close,224.43
3739,2020-02-28,BRK.B-close,206.34
3740,2020-03-31,BRK.B-close,182.83
3741,2020-04-30,BRK.B-close,187.36
3742,2020-05-29,BRK.B-close,185.58
3743,2020-06-30,BRK.B-close,178.51
3744,2020-07-31,BRK.B-close,195.78
3745,2020-08-31,BRK.B-close,218.04
3746,2020-09-30,BRK.B-close,212.94
3747,2020-10-30,BRK.B-close,201.9
