,4b. close (USD),5. volume,6. market cap (USD)
2022-02-18,2779.48000000,502977.40690000,502977.40690000
2022-02-17,2891.87000000,488693.26240000,488693.26240000
2022-02-16,3122.30000000,319997.62440000,319997.62440000
2022-02-15,3183.52000000,448971.75400000,448971.75400000
2022-02-14,2929.75000000,381778.23800000,381778.23800000
2022-02-13,2871.13000000,242751.35470000,242751.35470000
2022-02-12,2918.88000000,336250.31310000,336250.31310000
2022-02-11,2927.54000000,462025.87510000,462025.87510000
2022-02-10,3072.49000000,578212.83830000,578212.83830000
2022-02-09,3243.94000000,370267.89130000,370267.89130000
2022-02-08,3116.69000000,514773.58370000,514773.58370000
2022-02-07,3139.77000000,455070.25290000,455070.25290000
2022-02-06,3054.99000000,249394.59660000,249394.59660000
2022-02-05,3012.65000000,356803.30710000,356803.30710000
2022-02-04,2994.99000000,664002.93280000,664002.93280000
2022-02-03,2695.46000000,405043.39310000,405043.39310000
2022-02-02,2680.67000000,447852.12280000,447852.12280000
2022-02-01,2787.23000000,390034.27362000,390034.27362000
2022-01-31,2686.94000000,444584.85100000,444584.85100000
2022-01-30,2601.68000000,290770.08590000,290770.08590000
2022-01-29,2601.43000000,376666.82460000,376666.82460000
2022-01-28,2544.99000000,485149.80650000,485149.80650000
2022-01-27,2424.25000000,599481.71590000,599481.71590000
2022-01-26,2462.99000000,806441.62289000,806441.62289000
2022-01-25,2458.83000000,510152.95400000,510152.95400000
2022-01-24,2439.29000000,1123134.70389000,1123134.70389000
2022-01-23,2539.01000000,580497.76130000,580497.76130000
2022-01-22,2412.18000000,1081357.54893000,1081357.54893000
2022-01-21,2568.15000000,1022021.70024000,1022021.70024000
2022-01-20,3001.48000000,357596.70620000,357596.70620000
2022-01-19,3084.02000000,332996.57030000,332996.57030000
2022-01-18,3159.85000000,299134.27280000,299134.27280000
2022-01-17,3209.67000000,284063.65480000,284063.65480000
2022-01-16,3346.88000000,210782.22770000,210782.22770000
2022-01-15,3326.04000000,203100.37780000,203100.37780000
2022-01-14,3307.42000000,285326.35050000,285326.35050000
2022-01-13,3240.61000000,336234.87990000,336234.87990000
2022-01-12,3371.26000000,370465.80150000,370465.80150000
2022-01-11,3239.72000000,362446.70870000,362446.70870000
2022-01-10,3082.68000000,529818.38660000,529818.38660000
2022-01-09,3151.97000000,275874.16430000,275874.16430000
2022-01-08,3080.95000000,400692.10610000,400692.10610000
2022-01-07,3199.24000000,669631.72620000,669631.72620000
2022-01-06,3406.81000000,496745.74130000,496745.74130000
2022-01-05,3540.63000000,397942.03630000,397942.03630000
2022-01-04,3785.11000000,288258.55490000,288258.55490000
2022-01-03,3765.89000000,236245.85860000,236245.85860000
2022-01-02,3828.27000000,154791.42630000,154791.42630000
2022-01-01,3765.54000000,154143.89680000,154143.89680000
2021-12-31,3676.23000000,268014.29420000,268014.29420000
2021-12-30,3709.27000000,249263.73050000,249263.73050000
2021-12-29,3630.19000000,302753.63750000,302753.63750000
2021-12-28,3792.75000000,358064.71630000,358064.71630000
2021-12-27,4037.23000000,222140.39230000,222140.39230000
2021-12-26,4063.56000000,189309.25500000,189309.25500000
2021-12-25,4094.83000000,208126.88050000,208126.88050000
2021-12-24,4046.36000000,230833.16610000,230833.16610000
2021-12-23,4111.41000000,380207.81660000,380207.81660000
2021-12-22,3979.51000000,303191.80760000,303191.80760000
2021-12-21,4014.15000000,340826.35530000,340826.35530000
2021-12-20,3944.73000000,366916.47710000,366916.47710000
2021-12-19,3924.14000000,306006.32300000,306006.32300000
2021-12-18,3959.93000000,339593.25430000,339593.25430000
2021-12-17,3875.42000000,463370.92250000,463370.92250000
2021-12-16,3958.11000000,368780.03100000,368780.03100000
2021-12-15,4019.08000000,542068.05730000,542068.05730000
2021-12-14,3858.99000000,395145.74620000,395145.74620000
2021-12-13,3781.93000000,533467.23070000,533467.23070000
2021-12-12,4130.00000000,260535.51570000,260535.51570000
2021-12-11,4089.37000000,427853.43430000,427853.43430000
2021-12-10,3897.94000000,563236.56710000,563236.56710000
2021-12-09,4105.64000000,462173.71100000,462173.71100000
2021-12-08,4436.91000000,429403.93510000,429403.93510000
2021-12-07,4306.40000000,420749.75100000,420749.75100000
2021-12-06,4347.59000000,726742.96380000,726742.96380000
2021-12-05,4196.44000000,536325.44130000,536325.44130000
2021-12-04,4117.25000000,1111773.14510000,1111773.14510000
2021-12-03,4215.73000000,677974.86590000,677974.86590000
2021-12-02,4511.21000000,451861.95450000,451861.95450000
2021-12-01,4582.95000000,508198.31050000,508198.31050000
2021-11-30,4630.26000000,743024.46620000,743024.46620000
2021-11-29,4444.53000000,406881.22840000,406881.22840000
2021-11-28,4294.78000000,346471.35510000,346471.35510000
2021-11-27,4095.29000000,275326.52020000,275326.52020000
2021-11-26,4041.20000000,720245.16120000,720245.16120000
2021-11-25,4524.85000000,445868.24340000,445868.24340000
2021-11-24,4269.36000000,448727.03060000,448727.03060000
2021-11-23,4339.44000000,502811.79020000,502811.79020000
2021-11-22,4085.97000000,518501.33380000,518501.33380000
2021-11-21,4258.31000000,340206.32030000,340206.32030000
2021-11-20,4412.17000000,365584.57800000,365584.57800000
2021-11-19,4294.76000000,420045.08970000,420045.08970000
2021-11-18,3996.90000000,576945.18370000,576945.18370000
2021-11-17,4287.80000000,472852.18420000,472852.18420000
2021-11-16,4209.76000000,735857.06300000,735857.06300000
2021-11-15,4563.78000000,375421.66010000,375421.66010000
2021-11-14,4626.50000000,245309.06740000,245309.06740000
2021-11-13,4644.28000000,220720.66110000,220720.66110000
2021-11-12,4665.46000000,461580.04150000,461580.04150000
2021-11-11,4719.00000000,303688.97650000,303688.97650000
2021-11-10,4628.78000000,553596.99163000,553596.99163000
2021-11-09,4732.33000000,311267.57998000,311267.57998000
2021-11-08,4807.98000000,391102.31806000,391102.31806000
2021-11-07,4612.59000000,243596.59520000,243596.59520000
2021-11-06,4518.00000000,322154.09730000,322154.09730000
2021-11-05,4474.24000000,305651.72440000,305651.72440000
2021-11-04,4532.32000000,368218.25695000,368218.25695000
2021-11-03,4603.35000000,448658.35125000,448658.35125000
2021-11-02,4589.89000000,468184.79301000,468184.79301000
2021-11-01,4319.43000000,417620.70730000,417620.70730000
2021-10-31,4287.21000000,412856.28930000,412856.28930000
2021-10-30,4322.68000000,340223.06900000,340223.06900000
2021-10-29,4418.89000000,559231.07691000,559231.07691000
2021-10-28,4286.02000000,626378.50550000,626378.50550000
2021-10-27,3922.00000000,704604.25000000,704604.25000000
2021-10-26,4131.52000000,414498.15990000,414498.15990000
2021-10-25,4220.37000000,347438.65340000,347438.65340000
2021-10-24,4082.33000000,350115.83860000,350115.83860000
2021-10-23,4167.12000000,326576.96010000,326576.96010000
2021-10-22,3972.20000000,463222.54280000,463222.54280000
2021-10-21,4052.99000000,798566.55805000,798566.55805000
2021-10-20,4161.15000000,537383.09732000,537383.09732000
2021-10-19,3877.03000000,341268.37230000,341268.37230000
2021-10-18,3744.96000000,401819.97340000,401819.97340000
2021-10-17,3846.85000000,368898.98310000,368898.98310000
2021-10-16,3829.96000000,373727.85490000,373727.85490000
2021-10-15,3868.99000000,504321.73200000,504321.73200000
2021-10-14,3790.82000000,481894.14730000,481894.14730000
2021-10-13,3607.42000000,393463.12220000,393463.12220000
2021-10-12,3491.46000000,409377.19180000,409377.19180000
2021-10-11,3542.12000000,493521.88200000,493521.88200000
2021-10-10,3414.22000000,580223.63020000,580223.63020000
2021-10-09,3574.82000000,361906.75140000,361906.75140000
2021-10-08,3563.13000000,403597.14370000,403597.14370000
2021-10-07,3587.47000000,486102.35910000,486102.35910000
2021-10-06,3574.89000000,618265.54020000,618265.54020000
2021-10-05,3515.27000000,393900.88180000,393900.88180000
2021-10-04,3386.31000000,485204.64200000,485204.64200000
2021-10-03,3417.73000000,360586.89050000,360586.89050000
2021-10-02,3387.76000000,422551.18110000,422551.18110000
2021-10-01,3309.91000000,648714.61510000,648714.61510000
2021-09-30,3000.61000000,506896.76120000,506896.76120000
2021-09-29,2850.45000000,411305.08930000,411305.08930000
2021-09-28,2804.91000000,511325.46430000,511325.46430000
2021-09-27,2925.59000000,510130.73190000,510130.73190000
2021-09-26,3059.37000000,703594.47800000,703594.47800000
2021-09-25,2921.73000000,491974.02260000,491974.02260000
2021-09-24,2928.53000000,932090.88560000,932090.88560000
2021-09-23,3152.50000000,459293.88580000,459293.88580000
2021-09-22,3076.92000000,677457.64825000,677457.64825000
2021-09-21,2765.90000000,971519.88941000,971519.88941000
2021-09-20,2977.28000000,917939.57849000,917939.57849000
2021-09-19,3328.62000000,312948.00130000,312948.00130000
2021-09-18,3435.64000000,315162.76270000,315162.76270000
2021-09-17,3399.81000000,398888.37050000,398888.37050000
2021-09-16,3567.98000000,467985.49190000,467985.49190000
2021-09-15,3613.55000000,428507.52780000,428507.52780000
2021-09-14,3434.37000000,373634.90260000,373634.90260000
2021-09-13,3285.35000000,647855.71990000,647855.71990000
2021-09-12,3404.21000000,408858.95950000,408858.95950000
2021-09-11,3267.21000000,413524.17610000,413524.17610000
2021-09-10,3208.86000000,633026.26590000,633026.26590000
2021-09-09,3424.93000000,628553.88310000,628553.88310000
2021-09-08,3499.00000000,780611.76570000,780611.76570000
2021-09-07,3434.57000000,1203536.00209000,1203536.00209000
2021-09-06,3926.77000000,397768.57830000,397768.57830000
2021-09-05,3950.29000000,365759.85970000,365759.85970000
2021-09-04,3885.52000000,364478.11930000,364478.11930000
2021-09-03,3938.11000000,655903.75739000,655903.75739000
2021-09-02,3785.82000000,525165.79960000,525165.79960000
2021-09-01,3826.82000000,845759.95868000,845759.95868000
2021-08-31,3429.20000000,863071.13092000,863071.13092000
2021-08-30,3229.64000000,625347.27541000,625347.27541000
2021-08-29,3223.47000000,335806.78270000,335806.78270000
2021-08-28,3244.48000000,262360.34921000,262360.34921000
2021-08-27,3273.45000000,451027.80711000,451027.80711000
