,4b. close (USD),5. volume,6. market cap (USD)
2021-04-21,53787.63000000,66984.75690900,66984.75690900
2021-04-20,56425.00000000,72744.48215100,72744.48215100
2021-04-19,55633.14000000,78229.04226700,78229.04226700
2021-04-18,56150.01000000,124882.13182400,124882.13182400
2021-04-17,60006.66000000,58912.25612800,58912.25612800
2021-04-16,61334.80000000,91764.13988400,91764.13988400
2021-04-15,63159.98000000,51649.70034000,51649.70034000
2021-04-14,62959.53000000,82616.34399300,82616.34399300
2021-04-13,63575.00000000,82848.68874600,82848.68874600
2021-04-12,59860.00000000,56375.03711700,56375.03711700
2021-04-11,60002.43000000,41156.71539100,41156.71539100
2021-04-10,59769.13000000,69906.42411700,69906.42411700
2021-04-09,58142.54000000,40831.88491100,40831.88491100
2021-04-08,58077.52000000,44283.14701900,44283.14701900
2021-04-07,55953.45000000,71228.40565900,71228.40565900
2021-04-06,57991.15000000,54201.00072700,54201.00072700
2021-04-05,59129.99000000,54258.01579000,54258.01579000
2021-04-04,58202.01000000,41314.08197300,41314.08197300
2021-04-03,57051.94000000,47409.85211300,47409.85211300
2021-04-02,58950.01000000,47382.41878100,47382.41878100
2021-04-01,58720.44000000,47415.61722000,47415.61722000
2021-03-31,58740.55000000,60975.54266600,60975.54266600
2021-03-30,58746.57000000,55122.44312200,55122.44312200
2021-03-29,57635.47000000,67857.93739800,67857.93739800
2021-03-28,55777.63000000,39050.38751100,39050.38751100
2021-03-27,55817.14000000,50105.47505500,50105.47505500
2021-03-26,55025.59000000,63813.77469200,63813.77469200
2021-03-25,51293.78000000,87400.53453800,87400.53453800
2021-03-24,52303.65000000,83537.46502100,83537.46502100
2021-03-23,54340.89000000,59789.36542700,59789.36542700
2021-03-22,54083.25000000,62581.62616900,62581.62616900
2021-03-21,57351.56000000,48564.47027400,48564.47027400
2021-03-20,58102.28000000,44476.94177600,44476.94177600
2021-03-19,58030.01000000,52392.65296100,52392.65296100
2021-03-18,57648.16000000,66580.40667500,66580.40667500
2021-03-17,58912.97000000,70421.62084100,70421.62084100
2021-03-16,56900.75000000,77986.69435500,77986.69435500
2021-03-15,55605.20000000,102771.42729800,102771.42729800
2021-03-14,58968.31000000,52601.05275000,52601.05275000
2021-03-13,61188.39000000,83245.09134600,83245.09134600
2021-03-12,57221.72000000,73405.40604700,73405.40604700
2021-03-11,57773.16000000,81914.81285900,81914.81285900
2021-03-10,55851.59000000,84749.23894300,84749.23894300
