,4b. close (USD),5. volume,6. market cap (USD)
2022-01-18,471.40000000,707501.57700000,707501.57700000
2022-01-17,475.20000000,757806.03500000,757806.03500000
2022-01-16,498.60000000,507042.33200000,507042.33200000
2022-01-15,494.50000000,548626.20300000,548626.20300000
2022-01-14,490.00000000,797022.18100000,797022.18100000
2022-01-13,475.20000000,908052.93700000,908052.93700000
2022-01-12,487.80000000,836124.92800000,836124.92800000
2022-01-11,463.60000000,1266092.81900000,1266092.81900000
2022-01-10,424.70000000,1221504.73800000,1221504.73800000
2022-01-09,438.70000000,688777.34700000,688777.34700000
2022-01-08,429.90000000,1062788.58900000,1062788.58900000
2022-01-07,448.10000000,1331260.03000000,1331260.03000000
2022-01-06,472.60000000,986669.90000000,986669.90000000
2022-01-05,474.10000000,985152.00400000,985152.00400000
2022-01-04,506.90000000,687436.63800000,687436.63800000
2022-01-03,511.90000000,663841.02100000,663841.02100000
2022-01-02,531.00000000,404475.54100000,404475.54100000
2022-01-01,527.30000000,446171.54100000,446171.54100000
2021-12-31,511.40000000,677844.74900000,677844.74900000
2021-12-30,518.50000000,639166.71700000,639166.71700000
2021-12-29,514.50000000,740117.86700000,740117.86700000
2021-12-28,534.20000000,1002556.27100000,1002556.27100000
2021-12-27,563.70000000,803238.13100000,803238.13100000
2021-12-26,546.40000000,536338.77500000,536338.77500000
2021-12-25,547.40000000,455399.79300000,455399.79300000
2021-12-24,542.10000000,665688.41500000,665688.41500000
2021-12-23,549.00000000,844421.95400000,844421.95400000
2021-12-22,533.60000000,721787.10900000,721787.10900000
2021-12-21,528.30000000,686439.70800000,686439.70800000
2021-12-20,524.00000000,727454.21200000,727454.21200000
2021-12-19,529.80000000,540256.68400000,540256.68400000
2021-12-18,533.90000000,580436.09800000,580436.09800000
2021-12-17,525.50000000,921732.76300000,921732.76300000
2021-12-16,526.20000000,735504.68200000,735504.68200000
2021-12-15,541.10000000,1147515.30500000,1147515.30500000
2021-12-14,528.10000000,1263782.10100000,1263782.10100000
2021-12-13,521.00000000,1037150.70500000,1037150.70500000
2021-12-12,570.30000000,544940.33600000,544940.33600000
2021-12-11,564.50000000,950448.47400000,950448.47400000
2021-12-10,552.40000000,1083121.56400000,1083121.56400000
2021-12-09,570.20000000,1096635.01200000,1096635.01200000
2021-12-08,607.20000000,1113215.44900000,1113215.44900000
2021-12-07,578.70000000,1017363.94300000,1017363.94300000
2021-12-06,587.50000000,2005928.93200000,2005928.93200000
2021-12-05,557.80000000,1258393.72000000,1258393.72000000
2021-12-04,568.60000000,2611783.64700000,2611783.64700000
2021-12-03,595.00000000,1250950.16700000,1250950.16700000
2021-12-02,619.90000000,1104596.88100000,1104596.88100000
2021-12-01,627.50000000,1384101.08700000,1384101.08700000
2021-11-30,622.50000000,1380656.20500000,1380656.20500000
2021-11-29,623.40000000,1090520.86400000,1090520.86400000
2021-11-28,611.30000000,1281130.35100000,1281130.35100000
2021-11-27,599.90000000,1183849.36000000,1183849.36000000
2021-11-26,587.30000000,2413553.43900000,2413553.43900000
2021-11-25,639.10000000,1536194.04200000,1536194.04200000
2021-11-24,590.30000000,1079667.80300000,1079667.80300000
2021-11-23,591.10000000,1202541.91700000,1202541.91700000
2021-11-22,559.30000000,1141002.75500000,1141002.75500000
2021-11-21,584.00000000,970133.80700000,970133.80700000
2021-11-20,604.30000000,1119517.13100000,1119517.13100000
2021-11-19,581.00000000,1300787.95800000,1300787.95800000
2021-11-18,531.80000000,1750338.42800000,1750338.42800000
2021-11-17,578.00000000,1453408.55500000,1453408.55500000
