,4b. close (USD),5. volume,6. market cap (USD)
2021-09-16,1.09020000,302954441.00000000,302954441.00000000
2021-09-15,1.12070000,289063987.00000000,289063987.00000000
2021-09-14,1.09630000,275908113.00000000,275908113.00000000
2021-09-13,1.06430000,510682363.00000000,510682363.00000000
2021-09-12,1.11810000,324049191.00000000,324049191.00000000
2021-09-11,1.07870000,336502704.00000000,336502704.00000000
2021-09-10,1.05520000,901671116.00000000,901671116.00000000
2021-09-09,1.08680000,604426508.00000000,604426508.00000000
2021-09-08,1.09980000,794455994.00000000,794455994.00000000
2021-09-07,1.12920000,1297978123.89000010,1297978123.89000010
2021-09-06,1.38940000,710855257.91999996,710855257.91999996
2021-09-05,1.30760000,335187953.00000000,335187953.00000000
2021-09-04,1.25480000,355870711.00000000,355870711.00000000
2021-09-03,1.29070000,526413570.06999999,526413570.06999999
2021-09-02,1.25330000,501596506.81999999,501596506.81999999
2021-09-01,1.23620000,469917987.00000000,469917987.00000000
2021-08-31,1.18560000,709823003.29999995,709823003.29999995
2021-08-30,1.10020000,364996870.00000000,364996870.00000000
2021-08-29,1.14080000,313294895.00000000,313294895.00000000
2021-08-28,1.14590000,314618250.82999998,314618250.82999998
2021-08-27,1.19180000,565739468.35000002,565739468.35000002
2021-08-26,1.07120000,569965192.91999996,569965192.91999996
2021-08-25,1.17350000,530858362.99000001,530858362.99000001
2021-08-24,1.13530000,637760055.92999995,637760055.92999995
2021-08-23,1.24570000,661403795.74000001,661403795.74000001
2021-08-22,1.22600000,360176161.72000003,360176161.72000003
2021-08-21,1.21580000,394160040.57999998,394160040.57999998
2021-08-20,1.26290000,594584554.00999999,594584554.00999999
2021-08-19,1.23470000,723276976.28999996,723276976.28999996
2021-08-18,1.14310000,870414538.25999999,870414538.25999999
2021-08-17,1.09780000,893360572.36000001,893360572.36000001
2021-08-16,1.18550000,912003805.45000005,912003805.45000005
2021-08-15,1.28390000,1155282513.71000004,1155282513.71000004
2021-08-14,1.27910000,1408060485.31999993,1408060485.31999993
2021-08-13,1.09010000,674407528.30999994,674407528.30999994
2021-08-12,0.96600000,990869466.08000004,990869466.08000004
2021-08-11,1.01050000,1131344973.99000001,1131344973.99000001
2021-08-10,0.85110000,503252613.20999998,503252613.20999998
2021-08-09,0.81700000,474908832.07999998,474908832.07999998
2021-08-08,0.77880000,556138875.76999998,556138875.76999998
2021-08-07,0.81620000,589624594.72000003,589624594.72000003
2021-08-06,0.74740000,304988991.92000002,304988991.92000002
2021-08-05,0.73270000,331894003.58999997,331894003.58999997
2021-08-04,0.73100000,330543019.02999997,330543019.02999997
2021-08-03,0.71360000,398158150.61000001,398158150.61000001
2021-08-02,0.73800000,410656081.94000000,410656081.94000000
2021-08-01,0.72420000,469477766.36000001,469477766.36000001
2021-07-31,0.74600000,377281828.25000000,377281828.25000000
2021-07-30,0.75210000,604445794.89999998,604445794.89999998
2021-07-29,0.74880000,513356476.87000000,513356476.87000000
2021-07-28,0.73270000,1172622702.03999996,1172622702.03999996
2021-07-27,0.64510000,427078091.94999999,427078091.94999999
2021-07-26,0.62340000,803413949.17999995,803413949.17999995
2021-07-25,0.60690000,259034501.15000001,259034501.15000001
2021-07-24,0.60850000,319684922.30000001,319684922.30000001
2021-07-23,0.60910000,359561806.43000001,359561806.43000001
2021-07-22,0.59200000,409238764.36000001,409238764.36000001
2021-07-21,0.57190000,493423679.61000001,493423679.61000001
2021-07-20,0.52840000,393704657.61000001,393704657.61000001
2021-07-19,0.55700000,294780945.06999999,294780945.06999999
2021-07-18,0.58660000,241849135.65000001,241849135.65000001
2021-07-17,0.58210000,263418042.13999999,263418042.13999999
2021-07-16,0.58930000,282511701.88999999,282511701.88999999
2021-07-15,0.59790000,339655984.05000001,339655984.05000001
2021-07-14,0.61970000,352306488.75999999,352306488.75999999
2021-07-13,0.61920000,315648113.80000001,315648113.80000001
2021-07-12,0.62880000,356848391.95999998,356848391.95999998
2021-07-11,0.63640000,201320995.41999999,201320995.41999999
2021-07-10,0.62460000,279711260.06000000,279711260.06000000
2021-07-09,0.63690000,358836803.69000000,358836803.69000000
2021-07-08,0.62150000,430925669.18000001,430925669.18000001
2021-07-07,0.65220000,284356433.42000002,284356433.42000002
2021-07-06,0.66480000,356111895.88999999,356111895.88999999
2021-07-05,0.65260000,407839477.88000000,407839477.88000000
2021-07-04,0.69600000,334071078.77999997,334071078.77999997
2021-07-03,0.67320000,329367273.74000001,329367273.74000001
2021-07-02,0.65560000,387562387.58999997,387562387.58999997
2021-07-01,0.65910000,463328799.27999997,463328799.27999997
2021-06-30,0.70630000,634287485.14999998,634287485.14999998
2021-06-29,0.70630000,718445315.26999998,718445315.26999998
2021-06-28,0.64440000,460033268.30000001,460033268.30000001
2021-06-27,0.64840000,472483880.76999998,472483880.76999998
2021-06-26,0.61620000,548990505.59000003,548990505.59000003
2021-06-25,0.61110000,795450033.45000005,795450033.45000005
2021-06-24,0.67310000,633338243.15999997,633338243.15999997
2021-06-23,0.63830000,1167774271.66000009,1167774271.66000009
2021-06-22,0.54680000,1611548012.73000002,1611548012.73000002
2021-06-21,0.60670000,1073284195.87000000,1073284195.87000000
2021-06-20,0.77410000,589364804.51999998,589364804.51999998
2021-06-19,0.75820000,317290687.13000000,317290687.13000000
2021-06-18,0.79720000,389494745.88999999,389494745.88999999
2021-06-17,0.84190000,315642616.20999998,315642616.20999998
2021-06-16,0.83200000,380134518.73000002,380134518.73000002
2021-06-15,0.86630000,367733719.97000003,367733719.97000003
2021-06-14,0.89060000,441724628.57999998,441724628.57999998
2021-06-13,0.88320000,344882480.06000000,344882480.06000000
2021-06-12,0.83260000,375425465.13000000,375425465.13000000
2021-06-11,0.84710000,384826199.06999999,384826199.06999999
2021-06-10,0.86860000,592646634.42999995,592646634.42999995
2021-06-09,0.92180000,798994471.70000005,798994471.70000005
2021-06-08,0.87310000,989287175.64999998,989287175.64999998
2021-06-07,0.86180000,673906993.46000004,673906993.46000004
2021-06-06,0.94700000,395443235.74000001,395443235.74000001
2021-06-05,0.92300000,621966894.79999995,621966894.79999995
2021-06-04,0.96830000,814525376.25999999,814525376.25999999
2021-06-03,1.04500000,701176435.11000001,701176435.11000001
2021-06-02,1.02410000,673790276.51999998,673790276.51999998
2021-06-01,1.01080000,1130390772.84999990,1130390772.84999990
2021-05-31,1.04090000,1221688769.45000005,1221688769.45000005
2021-05-30,0.90580000,837581783.29999995,837581783.29999995
2021-05-29,0.83180000,980984330.41999996,980984330.41999996
2021-05-28,0.89850000,1220369622.05999994,1220369622.05999994
2021-05-27,0.97470000,997129594.41999996,997129594.41999996
2021-05-26,1.03160000,1160288119.63000011,1160288119.63000011
2021-05-25,0.97460000,1654728049.91000009,1654728049.91000009
2021-05-24,0.99300000,1613054853.94000006,1613054853.94000006
2021-05-23,0.78980000,1976494217.20000005,1976494217.20000005
2021-05-22,0.90520000,1478148766.91000009,1478148766.91000009
2021-05-21,1.00620000,1813489499.17000008,1813489499.17000008
2021-05-20,1.17950000,1974341688.46000004,1974341688.46000004
2021-05-19,1.05680000,3180237280.28999996,3180237280.28999996
2021-05-18,1.58890000,1813933407.63000011,1813933407.63000011
2021-05-17,1.49460000,1560737399.70000005,1560737399.70000005
2021-05-16,1.44960000,1498147985.65000010,1498147985.65000010
2021-05-15,1.49040000,1495464769.51999998,1495464769.51999998
2021-05-14,1.40000000,772801586.75999999,772801586.75999999
2021-05-13,1.36400000,1308704814.36999989,1308704814.36999989
2021-05-12,1.26910000,1028881609.00000000,1028881609.00000000
2021-05-11,1.47860000,724101053.88999999,724101053.88999999
2021-05-10,1.39060000,1154086820.04999995,1154086820.04999995
2021-05-09,1.53450000,726954201.32000005,726954201.32000005
2021-05-08,1.56110000,514586255.38000000,514586255.38000000
2021-05-07,1.57930000,894697893.66999996,894697893.66999996
2021-05-06,1.60280000,1507415092.60999990,1507415092.60999990
2021-05-05,1.61330000,1261641294.96000004,1261641294.96000004
2021-05-04,1.38770000,1375223308.72000003,1375223308.72000003
2021-05-03,1.55460000,670988111.67999995,670988111.67999995
2021-05-02,1.56050000,602425194.38999999,602425194.38999999
2021-05-01,1.65100000,701328204.71000004,701328204.71000004
2021-04-30,1.59880000,1429394131.01999998,1429394131.01999998
2021-04-29,1.39780000,824625421.08000004,824625421.08000004
2021-04-28,1.35760000,1092879174.17000008,1092879174.17000008
2021-04-27,1.40170000,1510880106.81999993,1510880106.81999993
2021-04-26,1.36290000,1871916062.93000007,1871916062.93000007
2021-04-25,1.03510000,1026066203.51999998,1026066203.51999998
2021-04-24,1.04833000,1120813592.20000005,1120813592.20000005
2021-04-23,1.17073000,2651341963.50000000,2651341963.50000000
